id,text,label
AWYITJ9IUMYKH_524,"Two Wolfgang Petersen directed films together in one package is all you could want, with fine picture quality and all the extras from the old DVDs.

""Air Force One"" in particular is excellent.",5
ANDZLSFNII2EW_12768,"For fans of the series and the movies
this film is a must. It continues The
Wrath of Khan but not at the same level
of interest. Anyway is a good movie",4
A1A2GP9SM4GCPD_10310,"I love the movie. The Blu-ray was fine, but it came with an expired Digital copy code. So that was disappointing",3
ARJIJNFNT2YSY_15036,You don't know what is going on until the end of the movie.  I have seen other movies that you don't know what is happening until the end but this leaves you cold.,3
A1ZYPLIM0YWSJR_8549,"We only watched a few minutes of the movie, due to offensive content.  We had wanted to see it, because wee had heard of it many times.",1
A3U89LAY00TDDD_15379,"Watch out, there is no digital copy with this - that is so annoying in this day and age.",1
A1EAHESWT2OS72_10685,States in the description multi-format. IT IS NOT!!!!!! Just the blu-ray's. The reason i bought it was for the digital copies!!! Very disappointed to say the least. I feel i was ripped off.,1
A2Q5RE6BNNJBR4_8236,A rare classic! Real life and cartoon made to look like one world at the same time. Awesome.,5
A133QQMQDF7NJP_9289,I did not hate the movie but the DVD was terribly scratched. What more can I say I simply threw it away.,1
A2JDYI6HUQV7VE_22780,I remember liking this movie as a child and wanted to watch it with my kids.  Unfortunately like a lot of older movies it couldn't hold their attention and I ended up watching it by myself.,3
A1VKS4ZTOJR3FX_23448,"Bought this movie because i've read the book. It was ok, not one of my favorites. IF you are a fan of the time period then you will most likely enjoy this movie.",3
A1X8VBJ4LZQX3R_3145,Charming movie with a bite.  Hitchcock's direction gives the story line all the wrong turns at the right timel,5
AME0VCSZMOIC3_22340,A DEA agent investigates the disappearance of a legendary Army ranger drill sergeant and several of his cadets during a training exercise gone severely awry.,3
A2UYBXJACYG1N9_5622,I made the mistake of getting ready of my copy and have had nightmares ever since. Now I have been saved!,5
A2WKJ9YAPCSLD1_17725,"Not your fault, of course, but the movie was not nearly as entertaing as I'd come to expect a Taylor movie to be",3
A2AOYM8K3R823L_2499,"The best film of my youth! Teenage girls will love this coming of age film, expertly acted by the underrated yet incredibly talented Dominique Swain.",5
A1183FKPBWTLYL_18104,"my daughter wanted this movie and she loves it. me, i think it is stupid, poorly written with cheesy effects.  DVD makes a good coaster.",1
A30STBQUU6JGP4_20144,Its an old movie starring Robert Stack so what do you expect? It did return some of  my childhood memories.,3
A30BWK3OJO343P_9151,This was a gift to a friend who liked it very much. The action was great and the images were clearer and more intense.,4
AXELMJHY6RPU1_12018,"I enjoyed the roles played by my favorite actors.  Although the story line is about pasta and chefs, I enjoyed watching cultural food preparations and traditions.",4
A1MEHGGDU1ETXZ_17539,"Too much dialog, story line hard to follow. After a while did not care about plot or movie itself. Goodfellas was a good mob movie.",1
A31Z37D7KCR9QL_6814,"Wasn't the worst movie, nor the best I've seen. But for the early '90s, it was just ok.",3
A1P0KA6BLPXB4T_5375,"Such a great movie! We laugh all the way through it. I saw it when it first came out, but it has a similar storyline to Did You Hear About the Morgan's (sort of).",5
ACTSOF7OLCCMZ_17298,"I do like Jeff Bridges.  He's undoubtedly made better movies, and lots of them, but this is worth your time, if you like him.  Valerie Perrine is no hindrance.",3
A1GW4D5WN73TL9_15457,Nice Disney telling of how Lippizan horses were saved during WWII from people who only cared about war and destruction.,3
A4PD46C17FBVC_5372,Had the VHS of this movie and it finally gave out so I got the DVD.  Love the movie.  Awesome lessons in it!,5
A2C1TVHA40KSHL_22666,Great Film but like numerous others I give 1 star for not releasing in 3D.,1
A152ARCH5D5JBU_1467,"Enough said. Her and Michelle Rodriguez are some of the hottest actions stars out. Mix in some monsters and winner winner, chicken dinner.",5
A3N2MVBI1A2I9Y_19716,waste of time and best watched in fast forward the best part is the singer/dancer at the beginning and the end of the movie.,1
A25YTCYV1DESSN_19639,"i bought this for the great cast,but the storyline is slow and a bit boring.",3
A22DCBT0BZ4OYL_12687,Not too bad considering the age of this movie.  I saw it the first time back in the 70's and always remembered it as a decent movie.  Very good for it's genre.,3
A1ZDQV3YA0166N_17023,good. kids loved it,3
AQ6OM5FQXJTM4_16976,"Three stars because the previous day we went to the filming location of the movie, China Camp. Not a bad 50's flick but mostly a propoganda film.",3
A3KEJDP6NVSXIB_1273,"Until now,i have never ever seen a W.A film I did not love and was surprsied when I not only did not like this one but actually found it
boring and solopistic.  ah well, can't win them all!",2
ARO9C8HA6BPCA_10028,"There is no such thing as a bad John Wayne movie. The ""Duke"" is in his element outmanned he stands alone against all the guys in black hats.",4
A26W0QBN8K6JX4_13289,I thought it was to silly but my husband laughed a lot and probably would give it a 4 star,3
A3H0UQL9X5W2JY_442,"loved it.  Missed it the first time around, and was hobbled by a bad hip.  the early scenes are akin to the ""honeymooners"" in graphics, but the series develops nicely and is addicting.",5
A65GUVCKEE1OQ_20044,"what can I say other than an OK movie, it is what it is...... What do you expect from a movie you have scene...",3
ASTCW3T1X28A3_14665,"I love it because there is plenty of action and it speaks to the thesis that I cover every year in my 12th grade class; science vs. religion.
In addition, students really love it",4
A3HCI92REOEXGD_15188,Henry Fonda is great and the history aspect is correct. The movie is just not action packed enough for my taste.,2
A2MUMWNRBK9W0E_8967,"Nicely suspenseful, but not exactly brain food.  Still, it's entertaining; at least the good guys aren't TOO good, and the bad guys aren't TOO bad, at least until the end.  It keeps you guessing for a while.",3
AFHQQWJBJ4ZQL_9428,"I never liked Pokemon. And i don't think the movies are that entertaining. I think that people that made Pokemon are imbeciles.

And no i do not recommend this movie.",1
A2KVAHYR78KZHZ_12787,"Just seeing Christopher Lloyd as a Klingon makes this film worth watching. Oh, and Robin Curtis as Saavik was way better than Kirstie Alley.",4
A2870IOT7NT42H_19617,It was f un to watc h but a bit corny using the pulp style of the 30s.,3
A15K1U8PVHIONE_20742,"Generally, this is a lumbering history of some Siberian families through the years to present times and the  loss of the tundra. It is very long and cannot be presented in one sitting.",3
