user_id,friends
B0011DL8T2,"['AFCRNORHAP4XEBS6RJH6EVSPYBAQ', 'AHAW4N6XQJNNJ3JBE7EHYHB3Q6UQ', 'AEBH33Q5R447VF2OGWLAU3RYITMA', 'AE3DEFDGCTNYSN6LFDMXUA3BSD7A', 'AFOVTXMPUOG5JZJEPDFZLAKJT43A', 'AFJ5TACAOL4Q62SKN4LFGL65E35Q', 'AHKXCXD6OW2SRL5YOVPFUF7DSJAQ', 'AEKVQLLSQUCHJP2RHUJQEJRYWHLA', 'AFXV2QAF2JCLC3BS24O4IUF6VAWA']"
AFCRNORHAP4XEBS6RJH6EVSPYBAQ,['B0011DL8T2']
B07Q3TV77S,"['AERUVZJRUTZR7HS5X66VU2JFCROQ', 'AFOU6TZXY4V3MANOG3OBNNH4LWPA', 'AGAI5PWCUC4YVDETIWHZHODSZ3BQ', 'AHNYZZXPALSKZUHXFQ56BUIGCL5Q', 'AH367XM75VAI5K4VXVKUPXLD32FQ']"
AERUVZJRUTZR7HS5X66VU2JFCROQ,['B07Q3TV77S']
B00EWUFETQ,"['AHVND7DAWNHH6AN7NIZ2GGBLLWIA', 'AGL5P2A6REIG67OIA7SMSM6QSGGA', 'AFBBWWP4IW4YFDSSPI5L3OJG4Y2Q', 'AHY44LTDXCSTWF3JPCT4UYNUYZWQ', 'AFWBAVH2RWQ5QVQFWQBBQUPP2PFQ', 'AEKLITKZNH3AD6I2ZUDPK6B5ZGOA', 'AG5JA7TY2BW4WY34SWCULFNWUA6Q']"
AHVND7DAWNHH6AN7NIZ2GGBLLWIA,['B00EWUFETQ']
B00Z5VI9MK,"['AFQKML44ZISCEJ5VBTBKHKAXUW4Q', 'AGH5KTMSRAMS4UXB7L4PTTXFPRHA', 'AHHQRQLKOR2YRXKEB753DZLJSHIA', 'AGKSS76BRR2ZZRRK6LPRAWTIZ3YQ', 'AFD2Y64NKUOFMZG6F6D3LCRYJZAQ', 'AHE4RYAEJ6PB5EDA33EQI534K3ZQ', 'AHO5WXAHAZNY3DSRDQNOZDZSYCKQ', 'AG5SXBL23XJ27PPDYE4AWNU2EKFQ', 'AEVV3LQD6G4JJEVLLV6G4F23TBZQ', 'AG2LZMGH3FIRHLPP5NVBI3Q7CNNQ', 'AGM6XZHYX65LWSKJC5PMLXDHJA7A', 'AH6C5Z5P6GNUUJNMP74DDVDBOQ7Q', 'AGHS3BY5A6MLTX7DHUCPTYFJMXFA', 'AEJCQ7AMGFHL2WN5ZJFVZK4UXDGA', 'AFPI2JLW6XR5MZHNWSLW6L732KAA', 'AGNZZM77WTQV7LSCD2GRBNRUXGHA', 'AEL6MNJAA4VW7CIQUQW5RRY4ZL7Q', 'AFGPDXU75VYYFFFIRDQGX6TMLMQQ']"
AFQKML44ZISCEJ5VBTBKHKAXUW4Q,['B00Z5VI9MK']
B071XVJ2MJ,"['AFK4HFE6BX4JNOPGSELHSRX3HLDQ', 'AFSWY6PGTN72X7KV4PHDFOJ5UDLA', 'AEG6MNWASRE2A26TVVBKR7HTN72Q', 'AHADO4QSHCNCTXTBN5TUINN3ITUA', 'AF5EYVSQHTIGULATGNQJ5XIV7WXQ', 'AEU6EUWHREG42PJVA6733TTQXE6Q']"
AFK4HFE6BX4JNOPGSELHSRX3HLDQ,['B071XVJ2MJ']
